,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33
1,40,management and ownership ,information and communication services ,40,7,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,1,home banking ,nessuno,NA,5,6,NA,7,5,2,1,6,7,5,7,5,NA,problems related to technology integration 
2,10,financial and administrative department ,production of food and consumer goods ,10,2,No,No,No,No,No,No,No,No,No,No,0,NA,nessuno,2,2,2,2,2,2,2,2,2,2,2,2,2,2,high costs 
3,27,management and ownership ,"trade, transport and warehousing ",37,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,home banking,7,7,6,3,6,6,5,6,6,2,5,6,6,6,problems related to technology integration 
4,25,operational area ,information and communication services ,25,1,No,No,No,No,No,No,No,No,No,No,0,NA,nessuno,2,2,1,1,2,2,2,2,2,1,2,1,1,2,lack of expertise 
5,12,management and ownership ,financial and insurance activities ,15,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,3,NA,piattaforme onmline,5,4,6,1,6,5,4,6,6,5,4,7,6,5,problems related to technology integration 
6,1,management and ownership ,social services ,10,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,mobile payment,1,1,1,1,4,1,7,3,3,1,1,1,1,3,resistance to change 
7,5,financial and administrative department ,information and communication services ,23,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,"inbank, paypal, pagopa",4,3,2,3,6,4,4,4,6,5,5,6,4,6,lack of expertise 
8,3,financial and administrative department ,information and communication services ,30,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,"inbank, paypal, pagopa",4,6,2,2,5,5,4,4,5,5,6,5,5,6,NA
9,16,financial and administrative department ,manufacturing and industrial activities ,35,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,tutti i servizi di internet bancario,6,5,7,2,6,7,7,2,7,7,4,4,6,6,problems related to technology integration 
10,1,financial and administrative department ,"trade, transport and warehousing ",1,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,"home banking per incassi, pagamenti e firme di contratti - paypal - cbill ",3,3,5,1,5,5,5,5,6,5,5,6,6,6,lack of expertise 
11,16,financial and administrative department ,social services ,16,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuna,6,6,7,7,6,5,5,4,5,5,5,5,5,5,high costs 
12,20,management and ownership ,"agriculture, forestry and fishing ",25,3,No,No,No,No,No,No,No,No,No,Si,0,NA,nessuno,3,3,3,1,3,1,4,3,3,4,2,2,2,2,high costs 
13,7,financial and administrative department ,manufacturing and industrial activities ,8,3,No,No,No,No,No,No,No,No,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lack of expertise 
14,35,operational area ,"trade, transport and warehousing ",35,3,No,No,No,No,No,No,No,No,No,No,0,NA,mobile payment,3,3,3,3,6,3,5,3,5,4,4,4,4,4,high costs 
15,19,financial and administrative department ,"production of intermediate goods, energy and waste ",19,4,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,2,NA,"incassi attraverso pos, incassi on line e, in previsione, incassi ""cardless""",5,3,5,3,5,5,5,4,5,3,4,4,4,4,"resistance to change, problems related to technology integration, lack of expertise "
16,4,financial and administrative department ,manufacturing and industrial activities ,40,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,1,azienda in fase di evoluzione e  rinnovamento sia tecnologico  che nel supporto finanziario,sino ad ora l'azienda utilizza tutti quegli strumenti che possiamo considerare comunemente in uso  e proposte dal settore finanziario a tutte le aziende.,3,4,5,3,5,5,5,4,3,5,4,5,6,6,NA
18,8,operational area ,"agriculture, forestry and fishing ",8,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,3,NA,nessuno,5,4,4,3,5,5,5,6,5,3,4,6,5,6,high costs 
19,3,financial and administrative department ,manufacturing and industrial activities ,3,2,No,No,No,No,No,No,No,No,No,No,0,NA,nessuno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lack of expertise 
20,13,financial and administrative department ,"trade, transport and warehousing ",20,2,Si,Si,Si,No,No,Si,No,Si,Si,No,0,NA,nessuno,2,2,2,2,2,3,3,1,2,3,4,2,3,2,lack of expertise 
21,4,financial and administrative department ,manufacturing and industrial activities ,4,2,No,No,No,No,No,Si,Si,No,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lack of expertise 
22,1,financial and administrative department ,"trade, transport and warehousing ",1,1,No,Si,No,No,No,Si,No,Si,No,Si,0,NA,non saprei (sicuro mobile payment),3,3,3,3,NA,5,3,3,4,5,4,3,3,4,NA
23,22,financial and administrative department ,manufacturing and industrial activities ,22,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuno,2,3,3,3,4,3,3,2,2,NA,2,2,4,5,lack of expertise 
24,4,management and ownership ,social services ,10,1,No,No,No,Si,No,Si,No,No,No,No,0,NA,nessuno,2,2,2,2,1,1,1,1,1,1,1,1,1,1,lack of expertise 
25,3,management and ownership ,"production of intermediate goods, energy and waste ",3,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,online banking,1,1,1,1,1,1,1,1,1,1,1,5,4,6,lack of useful solutions 
26,27,financial and administrative department ,production of food and consumer goods ,27,1,No,No,No,No,No,No,No,No,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,resistance to change 
27,25,management and ownership ,manufacturing and industrial activities ,34,2,No,Si,Si,No,No,Si,No,Si,Si,No,0,NA,nessuno,4,6,6,2,4,6,4,2,3,2,3,4,5,5,cybersecurity
28,23,management and ownership ,manufacturing and industrial activities ,40,3,Si,Si,Si,Si,Si,Si,Si,Si,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lack of expertise 
29,32,financial and administrative department ,"trade, transport and warehousing ",32,5,Si,Si,Si,Si,No,Si,Si,No,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,4,4,lack of expertise 
30,10,financial and administrative department ,manufacturing and industrial activities ,10,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,2,NA,impianti di cogenerazione in comodato d'uso e utilizzo di servizi internet banking,7,7,4,4,7,7,7,4,4,4,4,4,6,6,public authority authorization
31,41,management and ownership ,manufacturing and industrial activities ,41,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lack of useful solutions 
32,2,operational area ,"production of intermediate goods, energy and waste ",2,6,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,2,NA,non specificato,7,6,7,7,NA,6,7,6,6,6,6,6,6,6,resistance to change 
33,40,management and ownership ,manufacturing and industrial activities ,40,3,No,Si,No,No,No,Si,No,Si,Si,No,0,NA,nessuno,4,4,3,3,3,4,4,4,4,4,4,3,3,4,lack of expertise 
34,12,operational area ,manufacturing and industrial activities ,12,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,mobile payment,4,4,4,5,5,6,6,4,4,3,4,4,4,4,resistance to change 
35,3,management and ownership ,"production of intermediate goods, energy and waste ",3,2,Si,Si,Si,Si,Si,Si,No,Si,No,Si,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,high costs 
36,5,operational area ,social services ,5,5,Si,Si,No,Si,Si,Si,No,Si,No,No,0,NA,nessuno,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,problems related to technology integration 
37,2,human resources ,financial and insurance activities ,2,4,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,2,NA,home banking,5,5,3,1,7,7,5,2,4,7,2,3,6,5,problems related to technology integration 
38,12,operational area ,financial and insurance activities ,12,4,Si,Si,No,Si,Si,Si,No,Si,Si,No,0,NA,nessuno al momento,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,lack of expertise 
39,3,financial and administrative department ,information and communication services ,3,4,Si,Si,Si,Si,No,Si,Si,Si,No,Si,0,NA,artificial intelligence,3,3,3,3,5,4,4,5,5,3,4,4,5,4,problems related to technology integration 
40,15,operational area ,information and communication services ,35,6,Si,Si,Si,Si,No,Si,No,Si,Si,Si,1,intelligenza artificiale per allocazione scope3,"artificial intelligence, machine learning, chatbot e rpa",4,4,4,4,6,6,6,6,6,6,6,7,7,7,lack of expertise 
41,1,operational area ,"trade, transport and warehousing ",1,2,Si,Si,Si,Si,No,Si,Si,Si,Si,No,0,NA,nessuno,4,4,4,4,4,5,3,4,5,4,4,5,6,6,problems related to technology integration 
42,12,management and ownership ,manufacturing and industrial activities ,20,3,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,"nessuno, non abbiamo contatto diretto con la clientela retail",1,1,1,1,1,1,1,1,1,1,1,1,3,2,NA
43,16,operational area ,financial and insurance activities ,16,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,strumenti per i pagamenti digitali,1,1,1,1,4,4,1,1,1,1,1,4,4,4,problems related to technology integration 
44,10,management and ownership ,manufacturing and industrial activities ,10,6,Si,Si,No,Si,Si,Si,Si,Si,Si,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lack of expertise 
45,4,operational area ,"trade, transport and warehousing ",30,5,No,Si,No,No,No,No,Si,No,Si,Si,1,NA,intelligenza artificiale ,6,6,6,6,6,6,5,3,4,4,4,3,6,6,lack of expertise 
46,3,financial and administrative department ,financial and insurance activities ,22,5,Si,Si,No,Si,Si,Si,No,Si,No,Si,1,NA,nessuno,1,1,2,2,4,3,4,4,5,7,5,6,7,5,lack of expertise 
47,4,financial and administrative department ,manufacturing and industrial activities ,4,4,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuno,4,3,2,2,2,3,3,3,6,5,5,6,6,7,problems related to technology integration 
48,25,operational area ,manufacturing and industrial activities ,36,5,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,0,NA,attualmente nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,not yet considered
49,14,operational area ,production of food and consumer goods ,2,4,No,Si,Si,No,No,No,Si,Si,Si,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,problems related to technology integration 
50,32,operational area ,financial and insurance activities ,32,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,1,"non finalizzati alla sostenibilità, che ne è conseguenza, attualmente solo il mobile payment",mobile payment,5,5,4,4,6,6,5,5,6,6,5,6,7,7,NA
51,7,financial and administrative department ,manufacturing and industrial activities ,7,5,Si,Si,Si,Si,Si,Si,Si,Si,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
52,10,management and ownership ,financial and insurance activities ,10,4,No,Si,No,Si,No,Si,No,Si,No,Si,1,"ai, altri.","ai, mobile payment",1,1,1,1,1,1,1,1,1,1,1,1,3,1,lack of expertise 
53,11,management and ownership ,manufacturing and industrial activities ,11,4,Si,Si,Si,Si,No,Si,No,Si,Si,Si,1,NA,robotic perocess automation,3,4,4,5,6,5,5,5,5,3,4,6,5,6,resistance to change 
54,6,management and ownership ,constructions ,12,3,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,nessuno,2,4,4,4,6,6,7,7,7,6,6,6,6,6,lack of expertise 
55,4,financial and administrative department ,constructions ,4,2,No,No,No,Si,No,Si,No,No,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,not yet considered
56,23,financial and administrative department ,constructions ,23,4,No,Si,Si,Si,Si,Si,Si,Si,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,5,5,problems related to technology integration 
57,16,human resources ,"trade, transport and warehousing ",16,4,No,Si,Si,No,No,Si,No,Si,Si,Si,0,NA,docfinance,1,1,1,1,4,3,3,1,1,1,3,3,3,2,high costs 
58,8,financial and administrative department ,manufacturing and industrial activities ,8,5,Si,Si,Si,No,No,Si,Si,Si,Si,Si,3,NA,ict,4,3,6,4,5,5,6,6,6,6,6,7,6,7,problems related to technology integration 
59,7,operational area ,manufacturing and industrial activities ,7,4,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuno,2,2,2,2,2,2,2,2,2,3,2,2,2,2,problems related to technology integration 
60,24,management and ownership ,manufacturing and industrial activities ,24,4,Si,Si,Si,Si,Si,Si,No,Si,Si,No,0,NA,nessuno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lack of expertise 
61,11,financial and administrative department ,manufacturing and industrial activities ,11,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,4,operational area ,manufacturing and industrial activities ,15,3,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,al momento nessuno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not yet considered
63,1,financial and administrative department ,manufacturing and industrial activities ,1,4,Si,Si,No,No,No,Si,Si,Si,Si,Si,0,NA,attualmente nessuno,1,1,1,1,1,1,1,1,1,1,1,1,4,4,high costs 
64,30,operational area ,manufacturing and industrial activities ,42,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lack of expertise 
65,1,management and ownership ,information and communication services ,1,5,Si,Si,Si,Si,No,Si,No,No,No,No,0,NA,nessuno,2,2,2,2,2,2,2,2,2,2,2,2,4,4,lack of useful solutions 
66,22,operational area ,manufacturing and industrial activities ,30,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,1,progetto per la manutenzione preventiva e predittiva dei sistemi di riscaldamento domestici,"artificial intelligence, machine learning",6,6,4,1,5,4,3,4,1,1,3,4,5,4,problems related to technology integration 
67,2,operational area ,manufacturing and industrial activities ,2,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,1,NA,strumenti di business intelligence,2,2,1,1,4,2,2,3,5,3,1,4,5,4,resistance to change 
68,3,operational area ,manufacturing and industrial activities ,3,5,No,No,Si,No,No,No,No,Si,Si,Si,0,NA,nessuno,5,5,5,4,6,6,4,4,4,5,5,6,5,4,lack of expertise 
69,12,management and ownership ,"trade, transport and warehousing ",12,1,No,No,No,No,No,No,No,No,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,resistance to change 
70,3,operational area ,"trade, transport and warehousing ",3,4,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,1,NA,"utilizziamo strumenti di business intelligence per il monitoraggio dei dati finanziari e patrimoniali, utilizziamo programmi che consentono di tenere controllati i consumi di energia elettrica (fattore produttivo principale per l'azienda) dei nostri macchinari. poi c'è il progetto in corso per l'acquisto di un programma che consenta di evidenziare le ottimizzazioni (o i punti critici) del processo produttivo (es. co2 risparmiata se si compra un prodotto piuttosto che un altro, ecc.) con l'obbiettivo di redigere tra un paio d'anni un report di sostenibilità integrato al bilancio d'esercizio. 
però non sono sicuro che questi rientrino nella c.d. fintech",4,5,NA,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
71,4,operational area ,manufacturing and industrial activities ,4,5,No,Si,No,Si,No,Si,Si,Si,No,Si,1,"l'azienda ha installato un impianto fotovoltaico di nuova generazione nei suoi stabilimenti, sostenendo una politica di responsabilità ambientale e sociale. ","l'azienda, che ha compiuto 50 anni nel 2022, ha introdotto fin da subito automazione e macchinari a controllo numerico per realizzare prodotti eccellenti ma accessibili, ottimizzando tempi e materie prime, consentendo agli operatori di lavorare con la corretta ergonomia e in sicurezza.
anche i software di gestione dei processi sono sempre all'avanguardia per puntare sempre più a migliorare le performance.",3,6,5,5,5,5,5,5,5,4,5,5,5,5,high costs 
72,24,operational area ,constructions ,23,5,No,Si,No,Si,No,Si,No,Si,No,No,0,NA,nessuno,6,4,4,5,5,4,5,5,5,5,5,4,5,4,resistance to change 
73,30,management and ownership ,manufacturing and industrial activities ,30,2,No,Si,No,No,No,Si,Si,Si,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lack of expertise 
74,12,financial and administrative department ,"trade, transport and warehousing ",12,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,1,NA,mobile payment,5,3,7,7,7,7,7,7,7,7,3,5,5,5,NA
75,26,financial and administrative department ,manufacturing and industrial activities ,26,4,Si,Si,Si,Si,No,Si,No,No,No,No,0,NA,nessuno,3,3,3,3,3,3,3,3,3,3,3,3,3,3,resistance to change 
76,30,management and ownership ,information and communication services ,38,2,No,Si,Si,No,No,No,No,No,Si,Si,2,NA,cobot/mes/iso 14067,6,5,5,2,5,6,7,3,4,3,1,2,4,2,high costs 
77,9,financial and administrative department ,constructions ,9,3,No,Si,Si,Si,No,No,No,No,No,No,0,NA,nessuno,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,lack of expertise 
78,9,operational area ,"production of intermediate goods, energy and waste ",40,5,No,Si,No,Si,No,Si,No,Si,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,lack of useful solutions 
79,4,financial and administrative department ,manufacturing and industrial activities ,1,3,No,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lack of useful solutions 
80,6,operational area ,manufacturing and industrial activities ,6,3,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lack of expertise 
81,1,human resources ,manufacturing and industrial activities ,1,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,"ai, peer to peer, mobile payment, robotica",NA,2,NA,2,5,3,4,5,3,2,3,4,4,4,lack of expertise 
82,11,financial and administrative department ,information and communication services ,5,3,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,2,NA,mobile payment - marketing automation - machine learning ,4,1,1,1,6,2,1,1,1,1,1,1,3,1,not yet considered